Orientations,Spatial Frequencies,Temporal Frequencies,Contrasts
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
90,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
0,0.08,0,1
