X,Y,Diameter,White,Presentation Time,,,,
0,-10,16,0,1,,,,
0,-5,16,0,1,,,y range,x range
0,0,16,0,1,,,5,-30
0,5,16,1,1,,,10,-35
0,10,16,0,1,,,15,-40
0,15,16,0,1,,,20,-45
0,20,16,0,1,,,25,-50
0,25,16,0,1,,,30,-55
0,30,16,0,1,,,35,-60
0,35,16,0,1,,,,
-5,0,16,0,1,,,,
-10,0,16,0,1,,,,
-15,0,16,0,1,,,,
-20,0,16,0,1,,,,
-25,0,16,0,1,,,,
-30,0,16,0,1,,,,
-35,0,16,0,1,,,,
-40,0,16,0,1,,,,
-45,0,16,0,1,,,,
-50,0,16,0,1,,,,
-55,0,16,0,1,,,,
-60,0,16,0,1,,,,
-65,0,16,0,1,,,,
-70,0,16,0,1,,,,
-75,0,16,0,1,,,,
-80,0,16,0,1,,,,
-85,0,16,0,1,,,,
