Orientations,Spatial Frequencies,Temporal Frequencies,Contrasts
0.0,0.08,2.0,0.0
0.0,0.08,2.0,0.125
0.0,0.08,2.0,0.25
0.0,0.08,2.0,0.5
0.0,0.08,2.0,0.75
0.0,0.08,2.0,1.0
30.0,0.08,2.0,0.0
30.0,0.08,2.0,0.125
30.0,0.08,2.0,0.25
30.0,0.08,2.0,0.5
30.0,0.08,2.0,0.75
30.0,0.08,2.0,1.0
60.0,0.08,2.0,0.0
60.0,0.08,2.0,0.125
60.0,0.08,2.0,0.25
60.0,0.08,2.0,0.5
60.0,0.08,2.0,0.75
60.0,0.08,2.0,1.0
90.0,0.08,2.0,0.0
90.0,0.08,2.0,0.125
90.0,0.08,2.0,0.25
90.0,0.08,2.0,0.5
90.0,0.08,2.0,0.75
90.0,0.08,2.0,1.0
120.0,0.08,2.0,0.0
120.0,0.08,2.0,0.125
120.0,0.08,2.0,0.25
120.0,0.08,2.0,0.5
120.0,0.08,2.0,0.75
120.0,0.08,2.0,1.0
150.0,0.08,2.0,0.0
150.0,0.08,2.0,0.125
150.0,0.08,2.0,0.25
150.0,0.08,2.0,0.5
150.0,0.08,2.0,0.75
150.0,0.08,2.0,1.0
180.0,0.08,2.0,0.0
180.0,0.08,2.0,0.125
180.0,0.08,2.0,0.25
180.0,0.08,2.0,0.5
180.0,0.08,2.0,0.75
180.0,0.08,2.0,1.0
210.0,0.08,2.0,0.0
210.0,0.08,2.0,0.125
210.0,0.08,2.0,0.25
210.0,0.08,2.0,0.5
210.0,0.08,2.0,0.75
210.0,0.08,2.0,1.0
240.0,0.08,2.0,0.0
240.0,0.08,2.0,0.125
240.0,0.08,2.0,0.25
240.0,0.08,2.0,0.5
240.0,0.08,2.0,0.75
240.0,0.08,2.0,1.0
270.0,0.08,2.0,0.0
270.0,0.08,2.0,0.125
270.0,0.08,2.0,0.25
270.0,0.08,2.0,0.5
270.0,0.08,2.0,0.75
270.0,0.08,2.0,1.0
300.0,0.08,2.0,0.0
300.0,0.08,2.0,0.125
300.0,0.08,2.0,0.25
300.0,0.08,2.0,0.5
300.0,0.08,2.0,0.75
300.0,0.08,2.0,1.0
330.0,0.08,2.0,0.0
330.0,0.08,2.0,0.125
330.0,0.08,2.0,0.25
330.0,0.08,2.0,0.5
330.0,0.08,2.0,0.75
330.0,0.08,2.0,1.0
